QueryResult

# Config entry for catalogue:
serv_type: local
symbol: {PA A_I B_I AREA} {ellipse white {double($B_I)/double($A_I)} {($PA)} {} {}} {{sqrt(7.0*$AREA*double($B_I)/(22.0*double($A_I)))} {}}
# End config entry

# CURSA extensions for info and readability:
#column-units: none 	DEGREES{IHMS.3}	DEGREES{+IDMS.2}	mas/yr          	mas/yr          	mas/yr          	mas/yr          	magnitude       	magnitude       	magnitude       	magnitude       	pixels          	0.01 micron     	0.01 micron     	degrees         	                	sigma           	                	                
#column-types: INTEGER	DOUBLE	DOUBLE	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	INTEGER	INTEGER	INTEGER	INTEGER	INTEGER	REAL	INTEGER	INTEGER
#column-formats: I6	F11.7	F11.7	E12.4	E12.4	E12.4	E12.4	F7.3 	F7.3 	F7.3 	F7.3 	I9   	I7   	I7   	I3   	I2   	F8.3 	I6   	I10  

id	ra	dec	MU_ACOSD	MU_D	SIGMU_A	SIGMU_D	B_J	R_1	R_2	I	AREA	A_I	B_I	PA	CLASS	N_0_1	BLEND	QUALITY
000036	 11.2805220	 61.3294620	 -0.3081E+01	 -0.1043E+01	  0.3749E+01	  0.3657E+01	   19.722	   18.297	   18.316	   17.271	       86	   4555	   4026	 68	 2	   1.541	     0	         0
000037	 11.0250092	 61.3295519	 -0.6988E+01	  0.3237E+01	  0.7250E+01	  0.7166E+01	   21.423	   20.537	   20.238	   19.256	       27	   3759	   2614	118	 1	   2.540	     0	         0
000038	 11.1094362	 61.3297983	  0.2843E+02	 -0.2352E+02	  0.2990E+01	  0.2740E+01	   18.770	   17.377	   17.338	   16.447	      115	   5041	   4502	 92	 2	   0.145	     0	         0
000039	 11.3112165	 61.3299169	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.642	       15	   2954	   2022	118	 1	   2.938	     0	         0
000040	 10.8258301	 61.3300624	 -0.1265E+03	  0.1544E+01	  0.8374E+01	  0.8465E+01	   21.898	   99.999	   20.870	   19.624	       23	   3061	   2145	150	 2	  -0.183	     2	         0
000041	 10.8914722	 61.3301484	  0.6393E+01	  0.5160E+01	  0.5581E+01	  0.5530E+01	   21.212	   19.376	   19.828	   19.074	       35	   3164	   2819	 44	 2	   0.821	     0	         0
000042	 10.8283935	 61.3302395	 -0.1504E+02	  0.1597E+02	  0.8354E+01	  0.8455E+01	   22.243	   19.934	   20.428	   19.712	       25	   2980	   2302	 71	 2	   0.908	     1	         0
000043	 11.1505608	 61.3303730	 -0.1598E+03	 -0.8147E+02	  0.9920E+02	  0.1015E+03	   99.999	   99.999	   21.065	   20.126	       15	   2449	   1835	116	 2	   0.443	     0	         0
000044	 11.3133742	 61.3304200	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.513	        9	   1985	   1355	151	 2	  -1.126	     0	         0
000045	 11.0380422	 61.3304446	  0.1714E+02	  0.9317E+01	  0.5632E+01	  0.5588E+01	   20.929	   19.470	   19.450	   17.969	       64	   4443	   3417	 80	 1	   2.809	     0	         0
000046	 11.0490688	 61.3304675	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.413	       12	   2561	   1389	 86	 2	   0.759	     0	         0
000047	 11.2758913	 61.3305248	  0.3109E+01	  0.1027E+01	  0.4448E+01	  0.4352E+01	   20.159	   18.855	   18.898	   18.178	       48	   3404	   3060	116	 2	  -1.096	     0	         0
000048	 11.0321585	 61.3305953	  0.6799E+01	  0.2993E+01	  0.8551E+01	  0.8697E+01	   21.891	   19.954	   20.380	   18.993	       31	   4277	   2222	150	 1	   1.303	     0	         0
000049	 11.0593838	 61.3306325	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.600	       15	   3463	   2540	 18	 1	   5.361	     0	         0
000050	 11.2951977	 61.3308795	 -0.5128E+01	  0.3426E+01	  0.6104E+01	  0.6003E+01	   21.217	   19.817	   19.798	   18.585	       43	   3423	   2793	 44	 2	  -0.286	     0	         0
000051	 11.1847681	 61.3309150	 -0.3522E+01	 -0.2992E+01	  0.3163E+01	  0.3012E+01	   18.726	   17.736	   17.479	   16.974	       92	   4336	   4258	 41	 2	  -0.286	     0	         0
000052	 10.8186338	 61.3310714	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.320	        8	   3093	   1629	  0	 1	   2.598	     0	         0
000053	 11.2892882	 61.3312714	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.556	       18	   3668	   2464	125	 1	   4.978	     0	         0
000054	 11.0907733	 61.3314496	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.962	       18	   3294	   1894	109	 2	  -0.754	     0	         0
000055	 10.9634397	 61.3314536	  0.8914E+00	 -0.4302E+01	  0.3972E+01	  0.3881E+01	   20.601	   18.554	   18.561	   17.358	       89	   4463	   4056	140	 2	   1.121	     0	         0
000056	 11.2639337	 61.3316220	 -0.2469E+02	 -0.3886E+02	  0.9966E+02	  0.1004E+03	   99.999	   99.999	   21.320	   19.616	       14	   2547	   2038	 83	 1	   2.572	     0	         0
000057	 10.9728276	 61.3317653	 -0.7728E+01	 -0.2813E+01	  0.2750E+01	  0.2407E+01	   18.138	   16.119	   15.993	   14.766	      197	   6677	   6025	 46	 2	   0.430	     0	         0
000058	 11.1173631	 61.3317962	  0.1883E+03	 -0.2821E+03	  0.9551E+02	  0.9663E+02	   99.999	   99.999	   20.341	   18.967	       38	   5470	   2833	166	 1	   8.079	     0	         0
000059	 11.1973921	 61.3318443	  0.1061E+03	  0.5804E+01	  0.5055E+02	  0.5065E+02	   22.012	   99.999	   20.670	   19.782	       19	   2821	   1798	145	 2	  -1.136	     0	         0
000060	 11.3202858	 61.3318455	  0.1010E+02	  0.4827E+03	  0.5705E+02	  0.5828E+02	   21.063	   99.999	   99.999	   20.604	        9	   2525	   1090	136	 2	   0.983	     0	         0
000061	 10.8285110	 61.3318627	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.697	        8	   2830	   1153	 29	 2	   0.193	     0	         0
000062	 11.0501591	 61.3319297	  0.2215E+01	  0.6853E+00	  0.7632E+01	  0.7724E+01	   21.195	   19.001	   19.177	   17.830	       63	   4945	   3002	 77	 1	   3.532	     0	         0
000063	 10.8209812	 61.3320369	 -0.1871E+02	 -0.1617E+02	  0.8288E+01	  0.8435E+01	   22.371	   19.839	   20.402	   19.865	       19	   2506	   2009	 51	 2	  -0.575	     0	         0
000064	 11.2480467	 61.3322030	 -0.2102E+00	 -0.5032E+00	  0.4076E+01	  0.3983E+01	   19.948	   18.630	   18.563	   17.800	       66	   4038	   3452	175	 2	   0.441	     0	         0
000065	 11.0400040	 61.3322087	 -0.9871E+02	  0.1446E+03	  0.9626E+02	  0.9921E+02	   99.999	   99.999	   20.672	   20.667	        8	   1961	   1262	151	 2	  -1.470	     0	         0
000066	 11.1777815	 61.3322225	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.488	       10	   2801	   1303	 19	 2	   0.641	     0	         0
000067	 10.8620371	 61.3325090	 -0.2004E+03	  0.1138E+02	  0.1105E+03	  0.1136E+03	   99.999	   99.999	   21.322	   19.318	       24	   3531	   2309	128	 1	   3.806	     0	         0
000068	 11.2426409	 61.3325542	 -0.2490E+02	 -0.1743E+02	  0.8516E+01	  0.8664E+01	   21.782	   19.745	   20.660	   19.106	       30	   3928	   2106	149	 1	   3.064	     0	         0
000069	 11.2201574	 61.3325794	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.557	       10	   1998	   1646	136	 2	   0.796	     0	         0
000070	 11.0217748	 61.3326322	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.400	       25	   5911	   2589	 50	 1	   8.117	     0	         0
000071	 10.8714072	 61.3327135	  0.8152E+02	 -0.1487E+03	  0.6034E+02	  0.6203E+02	   22.076	   99.999	   21.087	   20.529	       10	   1890	   1648	143	 2	  -1.274	     0	         0
000072	 10.8259894	 61.3327548	 -0.1057E+02	 -0.7560E+01	  0.4574E+01	  0.4485E+01	   20.863	   18.929	   19.191	   18.099	       59	   3863	   3272	 57	 2	   0.380	     0	         0
000073	 10.9279639	 61.3328682	 -0.2456E+02	 -0.1623E+02	  0.5190E+01	  0.5190E+01	   19.971	   18.091	   18.823	   17.910	       70	   4121	   3452	 55	 2	  -0.023	     2	         0
000074	 10.8109636	 61.3328963	  0.3137E+03	  0.1712E+03	  0.5463E+02	  0.5555E+02	   21.929	   99.999	   20.813	   20.662	        9	   1929	   1348	 35	 2	  -0.957	     0	         0
