,DEGREES{IHMS.3},DEGREES{+IDMS.2},mas/yr          ,mas/yr          ,mas/yr          ,mas/yr          ,magnitude       ,magnitude       ,magnitude       ,magnitude       ,pixels          ,0.01 micron     ,0.01 micron     ,degrees         ,                ,sigma           ,                ,                
,DOUBLE,DOUBLE,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,REAL,INTEGER,INTEGER
,F11.7,F11.7,E12.4,E12.4,E12.4,E12.4,F7.3 ,F7.3 ,F7.3 ,F7.3 ,I9   ,I7   ,I7   ,I3   ,I2   ,F8.3 ,I6   ,I10  
id,ra,dec,MU_ACOSD,MU_D,SIGMU_A,SIGMU_D,B_J,R_1,R_2,I,AREA,A_I,B_I,PA,CLASS,N_0_1,BLEND,QUALITY
56,11.2639337,61.331622,-24.69,-38.86,99.66,100.4,99.999,99.999,21.32,19.616,14,2547,2038,83,1,2.572,0,0
57,10.9728276,61.3317653,-7.728,-2.813,2.75,2.407,18.138,16.119,15.993,14.766,197,6677,6025,46,2,0.43,0,0
58,11.1173631,61.3317962,188.3,-282.1,95.51,96.63,99.999,99.999,20.341,18.967,38,5470,2833,166,1,8.079,0,0
59,11.1973921,61.3318443,106.1,5.804,50.55,50.65,22.012,99.999,20.67,19.782,19,2821,1798,145,2,-1.136,0,0
60,11.3202858,61.3318455,10.1,482.7,57.05,58.28,21.063,99.999,99.999,20.604,9,2525,1090,136,2,0.983,0,0
61,10.828511,61.3318627,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.697,8,2830,1153,29,2,0.193,0,0
62,11.0501591,61.3319297,2.215,0.6853,7.632,7.724,21.195,19.001,19.177,17.83,63,4945,3002,77,1,3.532,0,0
63,10.8209812,61.3320369,-18.71,-16.17,8.288,8.435,22.371,19.839,20.402,19.865,19,2506,2009,51,2,-0.575,0,0
64,11.2480467,61.332203,-0.2102,-0.5032,4.076,3.983,19.948,18.63,18.563,17.8,66,4038,3452,175,2,0.441,0,0
65,11.040004,61.3322087,-98.71,144.6,96.26,99.21,99.999,99.999,20.672,20.667,8,1961,1262,151,2,-1.47,0,0
66,11.1777815,61.3322225,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.488,10,2801,1303,19,2,0.641,0,0
67,10.8620371,61.332509,-200.4,11.38,110.5,113.6,99.999,99.999,21.322,19.318,24,3531,2309,128,1,3.806,0,0
68,11.2426409,61.3325542,-24.9,-17.43,8.516,8.664,21.782,19.745,20.66,19.106,30,3928,2106,149,1,3.064,0,0
69,11.2201574,61.3325794,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.557,10,1998,1646,136,2,0.796,0,0
70,11.0217748,61.3326322,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.4,25,5911,2589,50,1,8.117,0,0
71,10.8714072,61.3327135,81.52,-148.7,60.34,62.03,22.076,99.999,21.087,20.529,10,1890,1648,143,2,-1.274,0,0
72,10.8259894,61.3327548,-10.57,-7.56,4.574,4.485,20.863,18.929,19.191,18.099,59,3863,3272,57,2,0.38,0,0
73,10.9279639,61.3328682,-24.56,-16.23,5.19,5.19,19.971,18.091,18.823,17.91,70,4121,3452,55,2,-0.023,2,0
74,10.8109636,61.3328963,313.7,171.2,54.63,55.55,21.929,99.999,20.813,20.662,9,1929,1348,35,2,-0.957,0,0
75,11.0741672,61.3329559,0.216,1.668,2.941,2.487,15.532,14.567,14.486,14.315,209,6644,6304,16,2,-0.366,0,0
76,11.2827703,61.3329834,-48.5,-23.46,7.827,7.929,21.388,19.204,20.26,19.546,20,2572,2108,137,2,-2.027,0,0
77,11.236045,61.3330172,95.56,155.5,85.22,85.93,99.999,99.999,21.044,20.179,15,2820,1627,73,2,1.743,0,0
